image,author,license,source_url
Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-053.jpg,Airman 1st Class Collin Schmidt,Public domain,https://commons.wikimedia.org/wiki/File:Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-053.jpg
Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-211.jpg,Airman 1st Class Collin Schmidt,Public domain,https://commons.wikimedia.org/wiki/File:Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-211.jpg
Three_men_wearing_swimwear_posing_for_the_camera__NINO_F_Scholten_Tel_Aviv_04_55.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Three_men_wearing_swimwear_posing_for_the_camera,_NINO_F_Scholten_Tel_Aviv_04_55.tiff"
Three_men_wearing_swimwear_posing_for_the_camera__NINO_F_Scholten_photographic_print_04_223.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Three_men_wearing_swimwear_posing_for_the_camera,_NINO_F_Scholten_photographic_print_04_223.tiff"
US_Army_51252_U.S._Forces_Europe_bodybuilding_champions_crowned_at_Wiesbaden_competition.jpg,Chrystal Smith (USAG Wiesbaden),Public domain,https://commons.wikimedia.org/wiki/File:US_Army_51252_U.S._Forces_Europe_bodybuilding_champions_crowned_at_Wiesbaden_competition.jpg
US_Army_51253_U.S._Forces_Europe_bodybuilding_champions_crowned_at_Wiesbaden_competition.jpg,Chrystal Smith (USAG Wiesbaden),Public domain,https://commons.wikimedia.org/wiki/File:US_Army_51253_U.S._Forces_Europe_bodybuilding_champions_crowned_at_Wiesbaden_competition.jpg
US_Army_53400__Natural_Freak__pumps_up_NTC.jpg,Courtesy photo,Public domain,https://commons.wikimedia.org/wiki/File:US_Army_53400_%22Natural_Freak%22_pumps_up_NTC.jpg
US_Navy_021105-N-1288N-016_Darrell_A._Lewis_strikes_one_of_the_poses_he_used_in_competition.jpg,U.S. Navy photo by Journalist 2nd Class Jeffrey Nichols.,Public domain,https://commons.wikimedia.org/wiki/File:US_Navy_021105-N-1288N-016_Darrell_A._Lewis_strikes_one_of_the_poses_he_used_in_competition.jpg
US_Navy_030514-N-3228G-005_Aviation_Maintenance_Administrationman_2nd_Class_George_F._Stowe_III_practices_his_poses_for_,U.S. Navy photo by Photographer's Mate 1st Class William R. Goodwin.,Public domain,https://commons.wikimedia.org/wiki/File:US_Navy_030514-N-3228G-005_Aviation_Maintenance_Administrationman_2nd_Class_George_F._Stowe_III_practices_his_poses_for_a_body_building_competition_during_a_workout_session.jpg
US_Navy_060318-N-9869B-070_U.S._Navy_reservist__DaRicha_Garner__left__poses_with_another_competitor_for_a_photo_of_the_t,U.S. Navy photo by Journalist 2nd Class Alexis R. Brown,Public domain,"https://commons.wikimedia.org/wiki/File:US_Navy_060318-N-9869B-070_U.S._Navy_reservist,_DaRicha_Garner,_left,_poses_with_another_competitor_for_a_photo_of_the_top_five_in_the_Class_D_Figure_Competition,_during_the_GNC_-_NPC_World_Gym_Classic_San_Diego_Bodybuilding_%5E.jpg"
Group_of_men_in_suits__NINO_F_Scholten_Tel_Aviv_05_042.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Group_of_men_in_suits,_NINO_F_Scholten_Tel_Aviv_05_042.tiff"
Harshit_Pandey_on_stage_for_a_bodybuilding_competition.jpg,Shobhit Pathak,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Harshit_Pandey_on_stage_for_a_bodybuilding_competition.jpg
U_S_service_members__DoD_Civilians_and_their_family_members_flex_on_their_competition__5916489_.jpg,U.S. Army photo by Sgt. Kyle Larsen,Public domain,"https://commons.wikimedia.org/wiki/File:U_S_service_members,_DoD_Civilians_and_their_family_members_flex_on_their_competition_(5916489).jpg"
2012_NPC_Jay_Cutler_Classic_Men_s_Physique_Competitor_John_Quinlan.jpg,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2012_NPC_Jay_Cutler_Classic_Men%27s_Physique_Competitor_John_Quinlan.jpg
2012_NPC_Men_s_Physique_Competitor_John_Quinlan.jpg,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2012_NPC_Men%27s_Physique_Competitor_John_Quinlan.jpg
Competition_brings_muscle__physique_DVIDS412875.jpg,Staff Sgt. Michael Freeman,Public domain,"https://commons.wikimedia.org/wiki/File:Competition_brings_muscle,_physique_DVIDS412875.jpg"
2012_NPC_Atlantic_States_Men_s_Physique_Competitor_John_Quinlan.JPG,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2012_NPC_Atlantic_States_Men%27s_Physique_Competitor_John_Quinlan.JPG
2012_NPC_Men_s_Master_s_National_Physique_Competitor_John_Quinlan_on_Stage_Image.jpg,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2012_NPC_Men%27s_Master%27s_National_Physique_Competitor_John_Quinlan_on_Stage_Image.jpg
2012_NPC_Men_s_Physique_Masters_Nationals.jpg,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2012_NPC_Men%27s_Physique_Masters_Nationals.jpg
